3LC;ORIGIN;3LC;id;Provinsi;DEST;REGPACK;SLA;JAGOPACK;SLA;BIGPACK/10 KG;SLA
CGK;JAKARTA;ENX;27;Sulawesi Selatan;ENREKANG;  32,000 ;03-04;16,000;08-13;81,000;10-15
CGK;JAKARTA;GOW;27;Sulawesi Selatan;GOWA;  32,000 ;02-04;16,000;09-16;81,000;11-18
CGK;JAKARTA;JNO;27;Sulawesi Selatan;JENEPONTO;  32,000 ;03-04;16,000;08-13;81,000;10-15
CGK;JAKARTA;LUY;27;Sulawesi Selatan;LUWU;  42,400 ;04-06;36,400;05-07;189,000;10-17
CGK;JAKARTA;UPG;27;Sulawesi Selatan;MAKASAR;  32,000 ;02-03;16,000;07-12;90,000;09-14
CGK;JAKARTA;MRS;27;Sulawesi Selatan;MAROS;  32,000 ;03-04;16,000;08-13;76,500;10-15
CGK;JAKARTA;LLO;27;Sulawesi Selatan;PALOPO;  42,400 ;03-05;36,400;04-06;211,500;09-15
CGK;JAKARTA;PGP;27;Sulawesi Selatan;PANGKAJENE KEPULAUAN;  32,000 ;03-04;16,000;08-13;81,000;10-15
CGK;JAKARTA;PSW;27;Sulawesi Selatan;PAREPARE;  32,000 ;03-04;16,000;08-15;90,000;10-17
CGK;JAKARTA;PRG;27;Sulawesi Selatan;PINRANG;  32,000 ;03-04;16,000;08-13;81,000;10-15
CGK;JAKARTA;SJA;27;Sulawesi Selatan;SINJAI;  32,000 ;03-04;16,000;08-13;81,000;10-15
CGK;JAKARTA;GGR;27;Sulawesi Selatan;TAKALAR;  32,000 ;03-04;16,000;08-13;90,000;10-15
CGK;JAKARTA;TOR;27;Sulawesi Selatan;TANA TORAJA;  32,000 ;03-04;16,000;08-13;81,000;10-15
CGK;JAKARTA;BUW;28;Sulawesi Tenggara;BAU BAU;  52,000 ;05-08;47,200;06-10;243,000;14-24
CGK;JAKARTA;KDI;28;Sulawesi Tenggara;KENDARI;  49,600 ;02-03;44,800;02-05;121,500;10-16
CGK;JAKARTA;PUM;28;Sulawesi Tenggara;KOLAKA;  52,400 ;02-04;48,000;03-05;171,000;10-16
CGK;JAKARTA;RAQ;28;Sulawesi Tenggara;RAHA;  50,000 ;04-05;45,600;04-07;274,500;12-21
CGK;JAKARTA;WNI;28;Sulawesi Tenggara;WAKATOBI;  56,000 ;02-04;49,600;02-06;274,500;10-19
CGK;JAKARTA;GTO;29;Gorontalo;GORONTALO;  48,800 ;02-03;44,800;03-04;144,000;14-20
CGK;JAKARTA;MJU;30;Sulawesi Barat;MAMUJU;  43,200 ;05-08;39,200;11-14;223,200;13-20
CGK;JAKARTA;AMQ;31;Maluku;AMBON;  60,000 ;03-04;55,200;03-06;238,500;12-20
CGK;JAKARTA;DOB;31;Maluku;DOBO;  93,600 ;05-06;90,000;05-08;0;0
CGK;JAKARTA;NAM;31;Maluku;NAMLEA;  82,400 ;03-04;75,600;03-06;0;0
CGK;JAKARTA;SXK;31;Maluku;SAUMLAKI;  92,000 ;04-05;84,000;04-07;0;0
CGK;JAKARTA;LUV;31;Maluku;TUAL;  92,800 ;03-04;84,000;03-06;351,000;12-28
CGK;JAKARTA;WUB;32;Maluku Utara;BULI;  77,600 ;06-07;72,000;06-09;351,000;14-24
CGK;JAKARTA;LAH;32;Maluku Utara;LABUHA;  75,200 ;04-05;71,200;04-07;351,000;13-24
CGK;JAKARTA;TTE;32;Maluku Utara;TERNATE;  67,200 ;02-03;60,000;02-05;211,500;12-21
CGK;JAKARTA;KAZ;32;Maluku Utara;TOBELO;  77,600 ;04-05;72,400;04-07;432,000;14-24
CGK;JAKARTA;DJJ;33;Papua;JAYAPURA;  79,200 ;03-04;31,200;12-21;225,000;14-23
CGK;JAKARTA;FKQ;34;Papua Barat;FAK FAK;  96,000 ;03-05;88,000;03-07;0;0
CGK;JAKARTA;KNG;34;Papua Barat;KAIMANA;  100,000 ;04-05;92,000;04-07;0;0
CGK;JAKARTA;MKW;34;Papua Barat;MANOKWARI;  96,800 ;03-05;93,600;03-07;257,400;14-21
CGK;JAKARTA;SOQ;34;Papua Barat;SORONG;  83,600 ;02-04;26,400;11-20;216,000;13-22
CGK;JAKARTA;MKQ;35;Papua Selatan;MERAUKE;  109,600 ;03-05;99,200;03-07;364,500;21-33
CGK;JAKARTA;NBX;36;Papua Tengah;NABIRE;  110,400 ;03-04;103,200;03-06;356,400;12-28
CGK;JAKARTA;TIM;36;Papua Tengah;TIMIKA;  112,800 ;03-04;108,000;03-06;337,500;21-33
CGK;JAKARTA;WMX;37;Papua Pegunungan;WAMENA;  109,600 ;05-06;103,200;05-08;0;0
;;;;;;;;;;;
